Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 11:58:25.382024 	Asksale  	BTC/USDT   	Paid 0.0063460241 BTC      	Received 60.5406413499 USDT	
2020/06/01 11:58:25.382024 	Bidsale  	ETH/USDT   	Paid 60.281008674 USDT     	Received 0.2544058889 ETH  	
2020/06/01 11:58:30.386494 	Ask      	BTC/USDT   	Offers: 0.0040614554 BTC   	Requests: 9541.04327289 USDT/unit	
2020/06/01 11:58:30.386494 	Bid      	ETH/BTC    	Offers: 0.02483484 BTC/unit	Requests: 0.1308308925 ETH 	
2020/06/01 11:58:30.386494 	Ask      	ETH/USDT   	Offers: 0.0237729304 ETH   	Requests: 236.92362413 USDT/unit	
2020/06/01 11:58:30.386494 	Asksale  	BTC/USDT   	Paid 0.0040614554 BTC      	Received 38.7505214162 USDT	
2020/06/01 11:58:30.386494 	Bidsale  	ETH/BTC    	Paid 0.0129237537 BTC      	Received 0.5203427831 ETH  	
2020/06/01 11:58:30.386494 	Bidsale  	ETH/BTC    	Paid 0.0093909637 BTC      	Received 0.3781037844 ETH  	
2020/06/01 11:58:30.386494 	Asksale  	ETH/USDT   	Paid 0.0237729304 ETH      	Received 5.6323688157 USDT 	
2020/06/01 11:58:30.386494 	Bidsale  	ETH/USDT   	Paid 48.2320401198 USDT    	Received 0.2035552376 ETH  	
2020/06/01 11:58:30.386494 	Bidsale  	ETH/USDT   	Paid 47.6435698766 USDT    	Received 0.2010447959 ETH  	
2020/06/01 11:58:35.391327 	Bidsale  	ETH/BTC    	Paid 0.0079321309 BTC      	Received 0.3193936156 ETH  	
2020/06/01 11:58:35.391327 	Bidsale  	ETH/USDT   	Paid 30.4903604475 USDT    	Received 0.1286794535 ETH  	
2020/06/01 11:58:40.395537 	Ask      	BTC/USDT   	Offers: 0.0025993314 BTC   	Requests: 9541.82885038 USDT/unit	
2020/06/01 11:58:40.395537 	Ask      	ETH/USDT   	Offers: 0.0298788384 ETH   	Requests: 236.92362414 USDT/unit	
2020/06/01 11:58:40.395537 	Bidsale  	ETH/BTC    	Paid 0.0050767947 BTC      	Received 0.2044222833 ETH  	
2020/06/01 11:58:40.395537 	Bidsale  	ETH/BTC    	Paid 0.0032491643 BTC      	Received 0.1308308925 ETH  	
2020/06/01 11:58:40.395537 	Asksale  	ETH/USDT   	Paid 0.0298788384 ETH      	Received 7.0790026895 USDT 	
2020/06/01 11:58:45.400239 	Asksale  	BTC/USDT   	Paid 0.0025993314 BTC      	Received 24.8023754979 USDT	
2020/06/01 11:58:50.409157 	Ask      	ETH/BTC    	Offers: 2.0860367344 ETH   	Requests: 0.02482607 BTC/unit	
2020/06/01 11:58:50.409157 	Ask      	ETH/USDT   	Offers: 0.6000000089 ETH   	Requests: 236.91092897 USDT/unit	
2020/06/01 11:58:50.409157 	Asksale  	ETH/BTC    	Paid 0.03479586 ETH        	Received 0.0008638445 BTC  	
2020/06/01 11:58:50.409157 	Asksale  	ETH/BTC    	Paid 2.0512408744 ETH      	Received 0.0509242495 BTC  	
2020/06/01 11:58:50.409157 	Asksale  	ETH/USDT   	Paid 0.6000000089 ETH      	Received 142.1465595001 USDT	
2020/06/01 11:58:55.413729 	Bidsale  	ETH/USDT   	Paid 24.3947271905 USDT    	Received 0.1029538555 ETH  	
2020/06/01 11:59:00.419047 	Ask      	DOGE/USDT  	Offers: 1441.6287418139 DOGE	Requests: 0.0025583 USDT/unit	
2020/06/01 11:59:00.419047 	Bid      	ETH/BTC    	Offers: 0.02483233 BTC/unit	Requests: 0.500842413 ETH  	
2020/06/01 11:59:05.424678 	Bid      	ETH/BTC    	Offers: 0.02483109 BTC/unit	Requests: 0.4006939375 ETH 	
2020/06/01 11:59:05.424678 	Asksale  	DOGE/USDT  	Paid 1441.6287418139 DOGE  	Received 3.6881188102 USDT 	
